what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360110390473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360110957509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360110958232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360110977570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360110978218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360111384519
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1360111385994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360111387746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360113882007
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1360113885585
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1360113885624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1360113892071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360113894639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360113907861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1360113915015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1360113917056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360113918507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360113926294
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1360113931705
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1360113931995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1360113932190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360113934614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1360113935871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360113936239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360113940513
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1360113945535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360113953545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1360113958868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360113959318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360113964942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1360113975090
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1360113975704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360113978990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360113980870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360113981078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360113984015
