what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358986676560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358986677801
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1358986677811
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1358986677837
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1358986677859
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1358986690366
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1358986695659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358986712833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358986714231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358986715308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358986716673
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1358986720473
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1358986720608
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1358986720746
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1358986720792
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1358986723064
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1358986725196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1358986742749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358986748058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358986767526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1358986768397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1358986768939
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1358986769020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358986769266
