what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359682772899
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359682779600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359682780135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359682781392
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359682790406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359682793005
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359682793375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359682795277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359682796895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359682797545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359682798473
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359682800377
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359682803808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359682806897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359682810764
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359682811410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359682815578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359682815703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1359682818187
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359682819378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1359682849458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359682904676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359682912239
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359682916785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359682924755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359682925375
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359682932075
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1359682932368
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1359682932427
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359682936432
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1359682937423
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1359682937471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359682945437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359682946809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1359682948366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359682948660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359682961787
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359682963802
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359682964265
