what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1361832808303
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1361832808383
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1361832808613
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1361832808848
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1361832808900
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1361832809116
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1361832809558
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1361832809618
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1361832810934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361832814751
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1361832814856
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1361832814870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361832815735
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1361832816037
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1361832816222
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1361832816250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1361832819915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361832821342
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1361832886312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833319260
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1361833322401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833328768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833332605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833334228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833336996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833350381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833361746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833362651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833363898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833415128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833421592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833514277
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361833557147
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1361833561601
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1361833577774
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1361833577888
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1361833577981
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1361833613379
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361833613976
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361833614058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833631803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833688078
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1361833712321
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361833712516
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361833722396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833729426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833737416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833740232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833748809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833774654
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1361833774685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361833786803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361834341601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361834342763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361834342834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361834343139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361834343865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361834344852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361834345971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361834394351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361834394973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361834988153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361834988496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361835284978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361835285647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361835287476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361835840390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361835845381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361835851058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361835852424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361835901947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361835911719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361835918737
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361835918757
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1361835923465
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1361835925286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361835925606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361835926857
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361835934181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.activateEditor",1361835934181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361835934759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361835988411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361835989767
