what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692222769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692227922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692236263
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692237560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692238427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692239126
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359692239140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692240107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692241717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692242507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692282343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692282830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692289382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692289846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692292521
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692292536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692292890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692293670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692294138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692297180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692298671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692304563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692308462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692313815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692315314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692316233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692317095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692327287
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359692331666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692332930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359692334410
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692334444
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692359660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359692363382
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692364022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359692365602
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692368032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359692370113
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692370699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359692372476
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692375037
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359692377117
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692377864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359692381053
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692383281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359692385551
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692386283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359692387844
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692390470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359692393104
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692394306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359692397117
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692399443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359692401751
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692402383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359692404009
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692406190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359692409957
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692410548
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359692412170
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692414288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359692415986
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359692416813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359692418544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1359692427329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1359692433097
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359692435206
