what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1359433566848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1359433567178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1359433567498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1359433575900
error,log,,,"Core exception while retrieving the content description",1359433575934
error,log,,,"Core exception while retrieving the content description",1359433575937
error,log,,,"Core exception while retrieving the content description",1359433575938
error,log,,,"Core exception while retrieving the content description",1359433575940
error,log,,,"Core exception while retrieving the content description",1359433576695
error,log,,,"Core exception while retrieving the content description",1359433576696
error,log,,,"Core exception while retrieving the content description",1359433576698
error,log,,,"Core exception while retrieving the content description",1359433576700
error,log,,,"Core exception while retrieving the content description",1359433576701
error,log,,,"Core exception while retrieving the content description",1359433576705
error,log,,,"Core exception while retrieving the content description",1359433576709
error,log,,,"Core exception while retrieving the content description",1359433576710
error,log,,,"Core exception while retrieving the content description",1359433576711
error,log,,,"Core exception while retrieving the content description",1359433576713
error,log,,,"Core exception while retrieving the content description",1359433576714
error,log,,,"Core exception while retrieving the content description",1359433576714
error,log,,,"Core exception while retrieving the content description",1359433576716
error,log,,,"Core exception while retrieving the content description",1359433576718
error,log,,,"Core exception while retrieving the content description",1359433576756
error,log,,,"Core exception while retrieving the content description",1359433576757
error,log,,,"Core exception while retrieving the content description",1359433576758
error,log,,,"Core exception while retrieving the content description",1359433576758
error,log,,,"Core exception while retrieving the content description",1359433576760
error,log,,,"Core exception while retrieving the content description",1359433576771
error,log,,,"Core exception while retrieving the content description",1359433576772
error,log,,,"Core exception while retrieving the content description",1359433576774
error,log,,,"Core exception while retrieving the content description",1359433576775
error,log,,,"Core exception while retrieving the content description",1359433576776
error,log,,,"Core exception while retrieving the content description",1359433578034
error,log,,,"Core exception while retrieving the content description",1359433578037
error,log,,,"Core exception while retrieving the content description",1359433578042
error,log,,,"Core exception while retrieving the content description",1359433578044
