1216.4228	1217.102
1378.4756	1379.2444
1444.5339	1445.3502
1460.5288	1461.3496
1501.5554	1502.4022
1540.5284	1541.3868
1548.5448	1549.4125
1622.5816	1623.492
1647.6133	1648.5452
1663.6082	1664.5446
1702.5812	1703.5292
1710.5976	1711.5549
1751.6242	1752.6075
1768.6395	1769.635
1809.6661	1810.6876
1825.661	1826.687
1864.634	1865.6716
1872.6504	1873.6973
1897.6821	1898.7505
1913.677	1914.7499
1954.7036	1955.8025
1971.7189	1972.83
2059.7349	2060.8929
2060.7553	2061.921
2100.7615	2101.9455
2116.7564	2117.9449
2204.7724	2206.0078
2205.7928	2207.0359
2262.8143	2264.0879
2350.8303	2352.1508
2553.9097	2555.3458
1606.5867	1607.4926
