X:706.8	Y:4716
X:707.4	Y:608
X:708.2	Y:2694
X:708.9	Y:2814
X:710.1	Y:1176
X:711	Y:1009
X:711.6	Y:1514
X:712.3	Y:1485
X:713.3	Y:1368
X:714	Y:1372
X:714.6	Y:953
X:715.1	Y:586
X:715.7	Y:716
X:717.3	Y:1546
X:718.2	Y:833
X:718.8	Y:383
X:719.6	Y:2351
X:720.4	Y:2961
X:721.4	Y:1419
X:722.1	Y:1137
X:723.3	Y:1260
X:723.8	Y:2030
X:724.5	Y:1178
X:726.2	Y:729
X:727.1	Y:570
X:728.5	Y:2039
X:729.1	Y:1608
X:729.9	Y:917
X:730.7	Y:827
X:732.5	Y:1537
X:733.8	Y:4769
X:734.6	Y:2124
X:735.7	Y:3843
X:736.4	Y:1468
X:737.1	Y:345
X:737.7	Y:735
X:738.3	Y:457
X:738.8	Y:932
X:739.5	Y:975
X:740.3	Y:1171
X:741.5	Y:672
X:743.2	Y:1449
X:744.1	Y:567
X:744.9	Y:505
X:745.5	Y:1404
X:746.5	Y:1867
X:747.1	Y:3617
X:747.6	Y:3642
X:748.4	Y:4561
X:749	Y:3048
X:749.8	Y:719
X:750.5	Y:1799
X:751.5	Y:2455
X:752.3	Y:830
X:753.1	Y:808
X:753.6	Y:1503
X:754.1	Y:1196
X:754.7	Y:1558
X:756	Y:3986
X:758.4	Y:985
X:759.4	Y:1409
X:760.4	Y:3296
X:761.4	Y:1849
X:762.2	Y:785
X:762.4	Y:786
X:763.1	Y:1123
X:763.7	Y:1346
X:764.3	Y:611
X:765.6	Y:3496
X:766.1	Y:2959
X:766.8	Y:569
X:767.2	Y:539
X:767.8	Y:1045
X:768.8	Y:1460
X:769.4	Y:2043
X:769.9	Y:1948
X:770.8	Y:1222
X:771.4	Y:1494
X:772.1	Y:759
X:772.7	Y:961
X:773.6	Y:348
X:774.3	Y:703
X:775.2	Y:1720
X:776.3	Y:1501
X:777.5	Y:677
X:778.5	Y:782
X:779.1	Y:1602
X:780	Y:1966
X:780.6	Y:695
X:781.5	Y:2311
X:782.2	Y:2370
X:782.8	Y:1650
X:783.5	Y:1693
X:784.3	Y:986
X:785.2	Y:1847
X:785.8	Y:2097
X:786.9	Y:1803
X:787.4	Y:1208
X:788.3	Y:350
X:788.8	Y:425
X:790.6	Y:2488
X:791.6	Y:273
X:792.5	Y:660
X:792.8	Y:620
X:793.5	Y:512
X:793.9	Y:443
X:794.6	Y:516
X:795.2	Y:837
X:796	Y:1471
X:797.6	Y:1264
X:798.4	Y:1154
X:799.2	Y:1444
X:800.4	Y:1081
X:800.9	Y:791
X:802	Y:17550
X:803.7	Y:2414
X:804.6	Y:1270
X:805.4	Y:578
X:806.6	Y:13468
X:807.9	Y:713
X:808.4	Y:1046
X:809.4	Y:946
X:810.1	Y:2404
X:811	Y:1374
X:811.9	Y:1256
X:812.5	Y:335
X:813.2	Y:639
X:814.4	Y:5734
X:815.4	Y:2490
X:816.2	Y:1368
X:816.8	Y:1296
X:818.2	Y:1285
X:819	Y:7153
X:820.2	Y:6212
X:821.1	Y:8720
X:822.2	Y:4077
X:823	Y:7219
X:823.5	Y:2532
X:824.2	Y:1766
X:825.4	Y:648
X:826.2	Y:716
X:828.6	Y:1278
X:829.3	Y:270
X:830.2	Y:1030
X:831.4	Y:1188
X:833.1	Y:439
X:834.2	Y:766
X:834.7	Y:1048
X:835.8	Y:549
X:836.4	Y:820
X:836.8	Y:378
X:837.5	Y:991
X:838.1	Y:4173
X:840.3	Y:2220
X:841.2	Y:1643
X:841.9	Y:562
X:843.2	Y:1525
X:843.7	Y:990
X:844.4	Y:535
X:845.1	Y:1311
X:846.1	Y:584
X:846.6	Y:721
X:847.5	Y:2649
X:848.3	Y:1220
X:849.2	Y:1684
X:851	Y:462
X:852.8	Y:1190
X:854.8	Y:4381
X:856.3	Y:9373
X:857.1	Y:2562
X:857.6	Y:1171
X:858.6	Y:970
X:859.3	Y:2546
X:860.4	Y:1129
X:860.9	Y:758
X:861.4	Y:285
X:862.5	Y:863
X:863	Y:1011
X:863.6	Y:947
X:864.3	Y:383
X:865.3	Y:564
X:866.5	Y:777
X:867.7	Y:1296
X:868.8	Y:1510
X:869.8	Y:221991
X:872.5	Y:9162
X:873.1	Y:5714
X:873.8	Y:5047
X:874.4	Y:7251
X:875.1	Y:4886
X:876.1	Y:3325
X:877.3	Y:5623
X:878.2	Y:4387
X:879	Y:2992
X:879.5	Y:2608
X:880.8	Y:757
X:881.5	Y:1435
X:882.1	Y:1759
X:882.8	Y:3255
X:883.7	Y:4004
X:884.4	Y:4443
X:885	Y:930
X:885.6	Y:1023
X:886.4	Y:1773
X:887.1	Y:4867
X:887.7	Y:7130
X:888.8	Y:1604
X:889.4	Y:3544
X:890.1	Y:6519
X:890.7	Y:5839
X:892	Y:4458
X:893.2	Y:1260
X:894.5	Y:2029
X:896	Y:1259
X:896.8	Y:2428
X:897.7	Y:593
X:898.9	Y:1786
X:900	Y:1063
X:900.6	Y:665
X:901.4	Y:991
X:901.8	Y:1220
X:902.4	Y:1227
X:902.9	Y:1839
X:903.4	Y:1740
X:904.1	Y:1334
X:904.9	Y:4363
X:906.5	Y:1249
X:907.5	Y:1269
X:908.2	Y:688
X:908.8	Y:753
X:909.7	Y:1140
X:910.5	Y:2436
X:911.5	Y:789
X:912.6	Y:1016
X:913.1	Y:653
X:914.3	Y:878
X:914.7	Y:1280
X:915.2	Y:642
X:916.1	Y:979
X:917.5	Y:793
X:918.1	Y:1321
X:918.7	Y:797
X:919.7	Y:1468
X:920.7	Y:2299
X:921.4	Y:743
X:922.4	Y:1621
X:923.9	Y:93366
X:926.3	Y:2630
X:927.1	Y:1615
X:927.8	Y:1995
X:928.7	Y:1592
X:929.8	Y:3596
X:931	Y:1884
X:931.3	Y:1987
X:932	Y:730
X:932.5	Y:1128
X:933.6	Y:1889
X:934.6	Y:1724
X:936.4	Y:2055
X:936.8	Y:1410
X:937.4	Y:1474
X:938	Y:1037
X:938.7	Y:3183
X:939.4	Y:1188
X:940.4	Y:623
X:941.3	Y:4920
X:942.1	Y:3674
X:942.6	Y:1919
X:943.4	Y:1348
X:944.1	Y:3309
X:944.7	Y:3936
X:945.4	Y:1215
X:946	Y:2044
X:946.7	Y:1340
X:947.6	Y:1276
X:948.5	Y:1342
X:949.6	Y:278
X:950	Y:459
X:950.9	Y:1251
X:951.8	Y:481
X:953.1	Y:8831
X:954.7	Y:1243
X:955.1	Y:1612
X:955.7	Y:594
X:956.4	Y:284
X:957.2	Y:901
X:958	Y:913
X:958.8	Y:949
X:959.4	Y:1073
X:960.5	Y:278
X:961.2	Y:1217
X:961.7	Y:2480
X:962.4	Y:4400
X:963.2	Y:1218
X:964.4	Y:751
X:965.6	Y:589
X:966.3	Y:1755
X:967.6	Y:1050
X:968.5	Y:339
X:969.8	Y:2115
X:970.8	Y:544
X:971.4	Y:1151
X:971.9	Y:851
X:972.5	Y:871
X:973.5	Y:504
X:973.9	Y:695
X:974.8	Y:942
X:975.1	Y:1087
X:976.1	Y:805
X:976.9	Y:272
X:977.9	Y:22275
X:979	Y:3472
X:979.7	Y:1056
X:980.4	Y:1822
X:981.4	Y:1696
X:982.5	Y:757
X:983.3	Y:378
X:984	Y:381
X:984.8	Y:500
X:985.3	Y:322
X:986	Y:393
X:986.7	Y:1701
X:987.2	Y:2969
X:987.9	Y:7396
X:988.4	Y:543
X:988.9	Y:483
X:990.6	Y:1924
X:991.2	Y:404
X:992.2	Y:848
X:993.7	Y:3780
X:994.4	Y:791
X:995.3	Y:1707
X:996	Y:1530
X:997	Y:454
X:997.6	Y:1930
X:998.5	Y:566
X:999.5	Y:1948
X:1000.3	Y:370
X:1002.6	Y:754
X:1003.2	Y:958
X:1003.9	Y:376
X:1004.4	Y:1269
X:1004.9	Y:1388
X:1005.7	Y:309
X:1006.4	Y:1575
X:1007.1	Y:6997
X:1007.6	Y:5622
